timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650007798968,917,Login-116,200,OK,AddToCart 4-1,text,true,,449,477,2,6,https://api.demoblaze.com/login,917,0,659
1650007798968,917,login-268,200,OK,InvalidLogin 3-1,text,true,,449,477,1,6,https://api.demoblaze.com/login,917,0,659
1650007799398,491,Login-116,200,OK,AddToCart 4-2,text,true,,449,477,2,6,https://api.demoblaze.com/login,491,0,229
1650007798968,921,signup,200,OK,Signup  1-1,text,true,,449,478,1,6,https://api.demoblaze.com/signup,921,0,659
1650007798968,964,login-darshi20,200,OK,Login 2-1,text,true,,484,482,2,10,https://api.demoblaze.com/login,962,0,659
1650007798968,965,contact-465,200,OK,Contact 5-1,text,true,,1605,392,2,10,https://api.demoblaze.com/entries,964,0,659
1650007799887,269,login-uff66,200,OK,InvalidLogin 3-1,text,true,,695,480,2,10,https://api.demoblaze.com/login,269,0,0
1650007799887,296,Login-darshi20,200,OK,AddToCart 4-1,text,true,,700,482,2,9,https://api.demoblaze.com/login,291,0,0
1650007799890,293,signupval-darshi20,200,OK,Signup  1-1,text,false,Test failed: text expected to contain /Sign up successful./,538,483,2,9,https://api.demoblaze.com/signup,288,0,0
1650007798895,1214,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-1,,false,,987,961,2,9,null,1209,75,659
1650007799934,251,login-178,200,OK,Login 2-1,text,true,,449,477,2,9,https://api.demoblaze.com/login,251,0,0
1650007799934,253,Login-511,200,OK,Contact 5-1,text,true,,449,477,2,7,https://api.demoblaze.com/login,253,0,0
1650007799890,319,Login-darshi21,200,OK,AddToCart 4-2,text,true,,647,482,2,7,https://api.demoblaze.com/login,315,0,0
1650007799893,333,login-268,200,OK,InvalidLogin 3-2,text,true,,449,477,1,7,https://api.demoblaze.com/login,333,0,81
1650007799891,336,signup,200,OK,Signup  1-2,text,true,,449,478,1,7,https://api.demoblaze.com/signup,336,0,79
1650007799893,365,login-darshi21,200,OK,Login 2-2,text,true,,685,482,1,7,https://api.demoblaze.com/login,365,0,81
1650007799893,377,contact-465,200,OK,Contact 5-2,text,true,,1482,392,2,7,https://api.demoblaze.com/entries,375,0,81
1650007800227,257,signupval-darshi21,200,OK,Signup  1-2,text,false,Test failed: text expected to contain /Sign up successful./,708,483,1,7,https://api.demoblaze.com/signup,257,0,0
1650007799890,593,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-2,,false,,1157,961,1,7,null,593,2,79
1650007800187,301,Login-512,200,OK,Contact 5-1,text,true,,459,482,2,6,https://api.demoblaze.com/login,298,0,0
1650007800226,275,login-uff67,200,OK,InvalidLogin 3-2,text,true,,624,480,1,6,https://api.demoblaze.com/login,274,0,0
1650007800271,247,Login-511,200,OK,Contact 5-2,text,true,,449,477,2,5,https://api.demoblaze.com/login,247,0,0
1650007800259,260,login-178,200,OK,Login 2-2,text,true,,449,477,1,5,https://api.demoblaze.com/login,260,0,0
1650007800210,476,Login-118,200,OK,AddToCart 4-2,text,true,,19902,473,2,4,https://www.demoblaze.com/,461,0,214
1650007800184,504,Login-118,200,OK,AddToCart 4-1,text,true,,19902,473,2,4,https://www.demoblaze.com/,487,0,240
1650007800489,352,Login-513,200,OK,Contact 5-1,text,true,,19902,473,2,4,https://www.demoblaze.com/,336,0,81
1650007800519,367,Login-512,200,OK,Contact 5-2,text,true,,459,482,2,4,https://api.demoblaze.com/login,367,0,0
1650007800689,243,Login-133,200,OK,AddToCart 4-1,text,true,,537,466,2,4,https://www.demoblaze.com/config.json,243,0,0
1650007800687,249,Login-133,200,OK,AddToCart 4-2,text,true,,578,466,2,4,https://www.demoblaze.com/config.json,249,0,0
1650007800887,141,Login-513,200,OK,Contact 5-2,text,true,,19902,473,2,4,https://www.demoblaze.com/,125,0,77
1650007800841,252,Login-528,200,OK,Contact 5-1,text,true,,624,466,2,4,https://www.demoblaze.com/config.json,251,0,0
1650007800932,256,Login-135,200,OK,AddToCart 4-1,text,true,,449,477,2,4,https://api.demoblaze.com/check,256,0,0
